Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions,Price_per_Transaction,HighDemand,PriceTier,Freehold_Flag,Is_Central,Log_Median_Price,Log_Median_PSF,Area_Transaction_Intensity,State_Price_Tier,Township_Uniqueness_Index,Price_to_PSF_Ratio,Tenure_Type_Interaction,Is_Capital_City,Transaction_Volume_Flag
SCIENTEX SUNGAI DUA,Tasek Gelugor,Penang,Freehold,Terrace House,331800.0,304.0,593,558.5858585858585,1,Medium,1,0,12.712290670597714,5.720311776607412,High,Tier 2: Medium-Cost State,2,1091.4473684210527,Freehold_Terrace House,0,High_Volume
BANDAR PUTRA,Kulai,Johor,Freehold,"Cluster House, Terrace House",590900.0,322.0,519,1136.3461538461538,1,Medium,1,0,13.289403769666063,5.777652323222656,High,Tier 1: High-Cost State,2,1835.0931677018634,"Freehold_Cluster House, Terrace House",0,High_Volume
TAMAN LAGENDA TROPIKA TAPAH,Chenderiang,Perak,Freehold,Terrace House,229954.0,130.0,414,554.1060240963856,1,Low,1,0,12.345638916589037,4.875197323201151,Medium,Tier 3: Low-Cost State,2,1768.876923076923,Freehold_Terrace House,0,High_Volume
SCIENTEX JASIN MUTIARA,Bemban,Melaka,Freehold,Terrace House,255600.0,218.0,391,652.0408163265306,1,Low,1,0,12.451372913840931,5.389071729816501,High,Tier 3: Low-Cost State,2,1172.4770642201836,Freehold_Terrace House,0,High_Volume
TAMAN LAGENDA AMAN,Tapah,Perak,Leasehold,Terrace House,219300.0,168.0,363,602.4725274725274,1,Low,0,0,12.298200494359103,5.1298987149230735,Medium,Tier 3: Low-Cost State,2,1305.357142857143,Leasehold_Terrace House,0,High_Volume
TAMAN IMPIAN EMAS,Tebrau,Johor,Freehold,"Terrace House, Semi D",738000.0,328.0,349,2108.5714285714284,1,Medium,1,0,13.511700458595241,5.796057750765372,High,Tier 1: High-Cost State,2,2250.0,"Freehold_Terrace House, Semi D",0,High_Volume
TAMAN KOTA MASAI,Pasir Gudang,Johor,Freehold,Terrace House,345000.0,323.0,319,1078.125,1,Medium,1,0,12.75130259456002,5.780743515792329,High,Tier 1: High-Cost State,2,1068.1114551083592,Freehold_Terrace House,0,High_Volume
TAMAN LAGENDA TELUK INTAN,Teluk Intan,Perak,Leasehold,"Terrace House, Cluster House",236594.0,126.0,309,763.2064516129033,1,Low,0,0,12.374105097589684,4.844187086458591,Medium,Tier 3: Low-Cost State,2,1877.7301587301588,"Leasehold_Terrace House, Cluster House",0,High_Volume
BANDAR SCIENTEX JASIN,Jasin,Melaka,Freehold,Terrace House,180000.0,188.0,301,596.0264900662252,1,Low,1,0,12.100717685412471,5.241747015059643,Medium,Tier 3: Low-Cost State,2,957.4468085106383,Freehold_Terrace House,0,High_Volume
BANDAR BUKIT RAJA,Kapar,Selangor,Freehold,Terrace House,793888.0,496.0,292,2709.515358361775,1,High,1,0,13.584698931967889,6.208590026096629,High,Tier 1: High-Cost State,2,1600.5806451612902,Freehold_Terrace House,0,High_Volume
TAMAN IMPIANA KESANG,Bemban,Melaka,Leasehold,Terrace House,128730.0,92.0,288,445.43252595155707,1,Low,0,0,11.76548023482051,4.532599493153256,High,Tier 3: Low-Cost State,2,1399.2391304347825,Leasehold_Terrace House,0,High_Volume
TAMAN BUKIT INDAH,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,695000.0,425.0,259,2673.076923076923,1,High,1,0,13.451668563394815,6.054439346269371,High,Tier 1: High-Cost State,4,1635.2941176470588,Freehold_Terrace House,0,High_Volume
TAMAN NUSA SERI CENGAL 2 & 3,Nilai,Negeri Sembilan,Leasehold,Terrace House,359000.0,194.0,210,1701.4218009478673,1,Low,0,0,12.791080452981857,5.272999558563747,Medium,Tier 2: Medium-Cost State,2,1850.5154639175257,Leasehold_Terrace House,0,High_Volume
BANDAR DATO' ONN,Tebrau,Johor,Freehold,"Terrace House, Semi D",750000.0,450.0,203,3676.470588235294,1,High,1,0,13.527829818844937,6.111467339502679,High,Tier 1: High-Cost State,2,1666.6666666666667,"Freehold_Terrace House, Semi D",0,High_Volume
TAMAN UNIVERSITI,Skudai,Johor,Freehold,Terrace House,394000.0,307.0,202,1940.8866995073893,1,Medium,1,0,12.884108726347916,5.730099782973574,High,Tier 1: High-Cost State,2,1283.3876221498372,Freehold_Terrace House,0,High_Volume
TAMAN JOHOR JAYA,Johor Bahru,Johor,Freehold,Terrace House,450000.0,326.0,195,2295.918367346939,1,Medium,1,0,13.017005083966255,5.7899601708972535,High,Tier 1: High-Cost State,2,1380.3680981595091,Freehold_Terrace House,0,High_Volume
TAMAN PUTERA INDAH,Batu Pahat,Johor,Freehold,"Terrace House, Cluster House",400000.0,214.0,193,2061.855670103093,1,Low,1,0,12.899222326086994,5.3706380281276624,High,Tier 1: High-Cost State,3,1869.1588785046729,"Freehold_Terrace House, Cluster House",0,High_Volume
TAMAN KIRANA,Kluang,Johor,Leasehold,Terrace House,170800.0,125.0,188,903.7037037037037,1,Low,0,0,12.048254415120404,4.836281906951478,High,Tier 1: High-Cost State,2,1366.4,Leasehold_Terrace House,0,High_Volume
TAMAN BESTARI INDAH,Ulu Tiram,Johor,Freehold,Terrace House,832000.0,471.0,184,4497.2972972972975,1,High,1,0,13.631588921725701,6.156978985585555,High,Tier 1: High-Cost State,2,1766.4543524416135,Freehold_Terrace House,0,High_Volume
TAMAN MUTIARA RINI,Skudai,Johor,Leasehold,Terrace House,672000.0,396.0,183,3652.1739130434785,1,High,0,0,13.418015107599418,5.983936280687191,High,Tier 1: High-Cost State,2,1696.969696969697,Leasehold_Terrace House,0,High_Volume
TAMAN BUKIT PERDANA,Kluang,Johor,Freehold,Cluster House,343400.0,140.0,181,1886.8131868131868,1,Low,1,0,12.746654139497183,4.948759890378168,High,Tier 1: High-Cost State,3,2452.8571428571427,Freehold_Cluster House,0,High_Volume
TAMAN SCIENTEX,Pasir Gudang,Johor,Freehold,"Terrace House, Cluster House",380000.0,387.0,177,2134.8314606741574,1,High,1,0,12.847929163278053,5.961005339623274,High,Tier 1: High-Cost State,2,981.9121447028424,"Freehold_Terrace House, Cluster House",0,High_Volume
BANDAR BARU PERMAS JAYA,Permas Jaya,Johor,Freehold,Terrace House,500000.0,392.0,173,2873.5632183908046,1,High,1,0,13.122365377402328,5.973809611869261,Medium,Tier 1: High-Cost State,2,1275.5102040816328,Freehold_Terrace House,0,High_Volume
TAMAN DAYA,Tebrau,Johor,Freehold,"Cluster House, Terrace House",504000.0,331.0,172,2913.2947976878613,1,Medium,1,0,13.130333531178522,5.805134968916488,High,Tier 1: High-Cost State,4,1522.6586102719034,"Freehold_Cluster House, Terrace House",0,High_Volume
HORIZON HILLS,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,1180000.0,500.0,171,6860.46511627907,1,High,1,0,13.981025843899115,6.2166061010848646,High,Tier 1: High-Cost State,2,2360.0,Freehold_Terrace House,0,High_Volume
BUKIT SENTOSA,Serendah,Selangor,Freehold,"Bungalow, Terrace House",290000.0,232.0,166,1736.5269461077844,1,Medium,1,0,12.577639650232573,5.4510384535657,High,Tier 1: High-Cost State,2,1250.0,"Freehold_Bungalow, Terrace House",0,High_Volume
D'Summit Residences,Skudai,Johor,Freehold,Service Residence,452900.0,602.0,165,2728.3132530120483,1,High,1,0,13.023428837534802,6.401917196727186,High,Tier 1: High-Cost State,2,752.3255813953489,Freehold_Service Residence,0,High_Volume
BANDAR BARU SRI KLEBANG,Chemor,Perak,Freehold,"Terrace House, Semi D",472800.0,235.0,164,2865.4545454545455,1,Medium,1,0,13.066429860131011,5.4638318050256105,Medium,Tier 3: Low-Cost State,2,2011.9148936170213,"Freehold_Terrace House, Semi D",0,High_Volume
TAMAN DESA TEBRAU,Tebrau,Johor,Freehold,"Terrace House, Cluster House",930000.0,470.0,163,5670.731707317073,1,High,1,0,13.742940940397677,6.154858094016418,High,Tier 1: High-Cost State,2,1978.723404255319,"Freehold_Terrace House, Cluster House",0,High_Volume
TAMAN PAGOH JAYA - TR 428,Pagoh,Johor,Freehold,Terrace House,80000.0,74.0,156,509.5541401273885,1,Low,1,0,11.289794413577894,4.31748811353631,Low,Tier 1: High-Cost State,2,1081.081081081081,Freehold_Terrace House,0,High_Volume
BANDAR BARU KANGKAR PULAI,Kulai,Johor,"Freehold, Leasehold","Cluster House, Terrace House",553200.0,297.0,155,3546.153846153846,1,Medium,1,0,13.223476686435603,5.697093486505405,High,Tier 1: High-Cost State,3,1862.6262626262626,"Freehold, Leasehold_Cluster House, Terrace House",0,High_Volume
TAMAN AROWANA [LENGGENG],Lenggeng,Negeri Sembilan,Leasehold,Terrace House,476240.0,310.0,152,3112.6797385620916,1,Medium,0,0,13.07367930760669,5.739792912179234,Medium,Tier 2: Medium-Cost State,2,1536.258064516129,Leasehold_Terrace House,0,High_Volume
TAMAN PERLING,Perling,Johor,Freehold,Terrace House,527500.0,286.0,152,3447.7124183006536,1,Medium,1,0,13.17590604006516,5.659482215759621,Medium,Tier 1: High-Cost State,2,1844.4055944055945,Freehold_Terrace House,0,High_Volume
LAYANGGKASA,Pasir Gudang,Johor,Freehold,Terrace House,551650.0,384.0,149,3677.6666666666665,1,High,1,0,13.220670878930397,5.953243334287785,High,Tier 1: High-Cost State,2,1436.5885416666667,Freehold_Terrace House,0,High_Volume
INDAHPURA,Kulai,Johor,Freehold,Terrace House,680000.0,377.0,145,4657.534246575343,1,High,1,0,13.429849547739444,5.934894195619588,High,Tier 1: High-Cost State,2,1803.7135278514588,Freehold_Terrace House,0,High_Volume
